item_id,item_name,brand,kcal_100g,protein_100g,carbs_100g,fat_100g,serving_size,quantity,source
870625002655,Premium Onion Rolls,Laromme,391.0,9.38,60.94,10.94,1 ROLL (64 g),,openfoodfacts
870625002716,Premium Egg Challah Rolls,Loromme,256.875727272727,7.40281818181818,42.3468,5.3971,1 Roll (62 g),,openfoodfacts
870625004949,Premium Challah Bread,Laromme,302.33,6.98,51.16,6.98,1.5 ONZ (43 g),30 oz,openfoodfacts
870840002614,Original glazed doughnuts,Krispy kreme,387.75510204082,6.1224489795918,44.897959183673,22.448979591837,1 doughnut (49 g),662g,openfoodfacts
870906001575,Pan Club Sandwich,,90.0,3.0,18.0,1.5,,,openfoodfacts
871265100725,Cocktail Samosa With Sweet & Green Chutney,Haldiram's,425.0,6.5,50.0,21.5,1 piece (20 g),,openfoodfacts
871329005010,Graine de lin,CanMar,600.0,26.6666666666667,26.6666666666667,46.6666666666667,2 tbsp (15 g),1.2 kg,openfoodfacts
871392001377,"Edamame, peeled  (Green Soy beans)","Len Xiang Bông Sen, Canada Six Fortune Enterprises Co Ltd.",125.0,11.25,12.5,3.125,0.5 cup (80 g),400 g,openfoodfacts
871392007096,Rice Cake Original,Tastie,292.307692307692,2.30769230769231,65.3846153846154,1.92307692307692,0.25 cake (130 g),,openfoodfacts
871459002972,Daiya Bbq Plant-based Chicken Flavour GF Pizza,Daiya,216.589861751152,4.14746543778802,35.0230414746544,7.37327188940092,0.5 pizza (217 g),,openfoodfacts
871459003016,Greek yogurt alternative,"Daiya,  Daiya Foods  Inc.",100.0,5.33,13.33,3.0,1 cup (150 g),,openfoodfacts
871459003023,Greek yogurt alternative,Daiya,100.0,5.33,13.33,3.0,1 cup (150 g),,openfoodfacts
871459003030,Greek yogurt alternative,Daiya Foods Inc.,100.0,5.33,13.33,3.0,1 cup (150 g),,openfoodfacts
871459003047,Greek yogurt,Daiya,107.0,5.33,14.67,3.0,1 cup (150 g),,openfoodfacts
871459003054,Greek yogurt alternative,,113.0,4.0,15.33,4.67,1 cup (150 g),,openfoodfacts
871459003061,Greek yogurt alternative,,115.0,3.96,14.98,4.85,1 cup (227 g),,openfoodfacts
871459003078,Greek yogurt,,97.0,3.96,8.81,5.29,1 cup (227 g),,openfoodfacts
871459003085,Plain greek yogurt alternative,,100.0,4.0,8.67,5.33,1 cup (150 g),,openfoodfacts
871459003108,Key lime crumble duets coconut yogurt alternative & toppings,,147.0,3.5,19.58,6.99,1 CONTAINER (143 g),,openfoodfacts
871459003115,Chocolate coconut duets,,159.0,3.45,20.0,7.59,1 CONTAINER (145 g),,openfoodfacts
871459003122,Plain coconut yogurt alternative & toppings duets,,125.0,4.17,14.58,6.25,1 CONTAINER (144 g),,openfoodfacts
871459003139,Salted caramel crunch duets,,159.0,4.14,20.0,7.59,145 g (145 g),,openfoodfacts
871459003214,CHEDDAR SHREDS,Daiya,300.0,3.33333333333333,26.6666666666667,20.0,1 serving (30 g),,openfoodfacts
871791100206,Liquid Calcium Magnesium 2:1 Ca/mg Ratio Orange-vanilla Flavored,Integrative Therapeutics,200.0,20.0,33.3333333333333,0.0,15.0g,,openfoodfacts
871893000749,Barossa Sourdough Rye Bread Mix,Laucke,568.036966220522,8.7,41.4,1.0,,,openfoodfacts
