item_name,cat,kcal_100g,fat_100g,carbs_100g,protein_100g,source,cat_l1,cat_l2,cat_l3,item_name_word_count
cauliflower pizza crust cauliflower,frozen breads,176.971637980143,1.72151085747613,36.8564307657878,2.56396803114149,off,grains & pasta,bread,frozen breads,4
plain folded flatbreads,flatbreads,305.714285714286,4.5714285714286,53.428571428571,10.0,off,grains & pasta,bread,flatbreads,3
straight cut chips,chips and fries,120.0,2.5,21.2,2.2,off,snacks,chips & crisps,chips and fries,3
dark chocolate,dark chocolates,625.0,56.25,25.0,12.5,off,sweets & confectionery,chocolate,dark chocolates,2
lindor white,candy chocolate bars,636.363636363636,48.4848484848485,42.4242424242424,6.06060606060606,off,sweets & confectionery,chocolate,candy chocolate bars,2
ferrero rocher,chocolate candies,600.0,44.0,48.0,8.0,off,sweets & confectionery,candy & gummy,chocolate candies,2
ferrero rocher,chocolate candies,603.0,42.7,44.4,8.2,off,sweets & confectionery,candy & gummy,chocolate candies,2
nutella and go,hazelnut butters,513.461538461538,25.0,65.3846153846154,7.69230769230769,off,sweets & confectionery,jams & spreads,hazelnut butters,3
nutella go,pates-a-tartiner-aux-noisettes-et-au-cacao,500.0,25.0,65.3846153846154,7.69230769230769,off,sweets & confectionery,jams & spreads,pates-a-tartiner-aux-noisettes-et-au-cacao,2
belgian milk chocolate rice cakes,puffed rice cakes with milk chocolate,482.352941176471,20.5882352941176,65.2941176470588,7.64705882352941,off,baked goods,crackers,puffed rice cakes with milk chocolate,5
roasted and salted peanuts,roasted peanuts,600.0,58.79375,9.25,14.3203125,off,snacks,nuts & seeds,roasted peanuts,4
paradise sun,plant-based foods and beverages,32.0,0.0,8.0,0.0,off,other,other,plant-based foods and beverages,2
sourdough sliced bread,sliced breads,250.0,1.662,53.5608,12.05942,off,grains & pasta,bread,sliced breads,3
los pericos,,542.372881355932,27.2108843537415,61.2244897959184,6.80272108843537,off,,,,2
low fat blackcurrant yogurt,fruit yogurts,127.23375,0.80055,26.91515,2.049975,off,dairy & eggs,yogurt,fruit yogurts,4
